"trial","ref_position","var_area","response","correct","rt"
1,"R",9.8653915009927,"L",TRUE,6.80699992179871
2,"R",9.02228398178704,"L",TRUE,3.58799982070923
3,"L",11.6841388142202,"R",TRUE,1.89499998092651
4,"R",14.1489892348181,"L",TRUE,1.5699999332428
5,"R",9.47648154711351,"L",TRUE,1.57299995422363
6,"R",11.0394569050986,"L",TRUE,1.47399997711182
7,"L",13.5172442814801,"R",TRUE,1.67599987983704
8,"L",13.0336330658756,"R",TRUE,1.67799997329712
9,"L",8.71898049116135,"L",TRUE,1.80000019073486
10,"L",13.7380826231092,"R",TRUE,1.77699995040894
11,"R",8.22589980065823,"L",FALSE,1.67199993133545
12,"L",8.45187008101493,"L",TRUE,1.67899990081787
13,"R",13.8938530245796,"L",TRUE,1.50600004196167
14,"L",8.97556518600322,"L",TRUE,1.67000007629395
15,"L",11.9619298861362,"R",TRUE,1.67499995231628
16,"L",14.6053966330364,"R",TRUE,1.6800000667572
17,"L",11.2797534635756,"R",TRUE,1.67000007629395
18,"R",11.7140302527696,"L",TRUE,1.47399997711182
19,"L",8.97720266878605,"L",TRUE,1.57200002670288
20,"R",13.2856202903204,"L",TRUE,1.56599998474121
21,"R",10.8717107684352,"L",TRUE,1.67200016975403
22,"R",11.8237608701456,"L",TRUE,1.57400012016296
23,"R",13.5371083742939,"L",TRUE,1.47300004959106
24,"L",14.589009813033,"R",TRUE,1.87400007247925
25,"R",8.92185675143264,"L",FALSE,1.89699983596802
